Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2017-02-22,20:00,Europa Lg,Round of 32,Wed,Home,D,1,1,ru Krasnodar,59,"21,788",Volkan Demirel,4-3-2003,4-3-2003,Paweł Raczkowski,Match Report,Leg 2 of 2; Krasnodar won
2017-02-26,19:00,Süper Lig,Matchweek 22,Sun,Away,D,1,1,Gaziantepspor,63,,Mehmet Topal,4-2-3-1,4-1-4-1,Yaşar Kemal Uğurlu,Match Report,
2017-03-05,19:00,Süper Lig,Matchweek 23,Sun,Home,W,1,0,Osmanlıspor,63,,Mehmet Topal,4-2-3-1,4-2-3-1,Alper Ulusoy,Match Report,
2017-03-10,20:00,Süper Lig,Matchweek 24,Fri,Away,W,3,2,Alanyaspor,54,,Mehmet Topal,4-2-3-1,4-2-3-1,Ali Palabıyık,Match Report,
2017-03-17,20:00,Süper Lig,Matchweek 25,Fri,Home,L,2,3,Konyaspor,60,,Mehmet Topal,4-3-2003,4-2-3-1,Fırat Aydınus,Match Report,
2017-04-01,19:00,Süper Lig,Matchweek 26,Sat,Away,W,1,0,Karabükspor,46,,Mehmet Topal,4-3-2003,4-2-3-1,Bülent Yildirim,Match Report,
2017-04-09,19:00,Süper Lig,Matchweek 27,Sun,Home,W,3,1,Akhisarspor,57,,Volkan Demirel,4-2-3-1,4-2-3-1,Halil Meler,Match Report,
2017-04-23,19:00,Süper Lig,Matchweek 28,Sun,Away,W,1,0,Galatasaray,32,,Volkan Demirel,4-2-3-1,4-2-3-1,Fırat Aydınus,Match Report,
2017-04-30,16:00,Süper Lig,Matchweek 29,Sun,Home,W,2,1,Rizespor,64,,Mehmet Topal,4-2-3-1,4-2-3-1,Ali Palabıyık,Match Report,
2017-05-07,19:00,Süper Lig,Matchweek 30,Sun,Away,D,1,1,Beşiktaş,47,,Volkan Demirel,4-2-3-1,4-2-3-1,Fırat Aydınus,Match Report,
2017-05-13,19:00,Süper Lig,Matchweek 31,Sat,Home,L,0,1,Antalyaspor,51,,Volkan Demirel,4-2-3-1,4-2-2-2,Mete Kalkavan,Match Report,
2017-05-22,20:00,Süper Lig,Matchweek 32,Mon,Away,W,2,1,Gençlerbirliği,55,,Volkan Demirel,4-2-3-1,5-4-2001,Umit Öztürk,Match Report,
2017-05-27,19:00,Süper Lig,Matchweek 33,Sat,Home,D,1,1,Trabzonspor,45,,Volkan Demirel,4-2-3-1,4-1-4-1,Ali Palabıyık,Match Report,
2017-06-03,17:00,Süper Lig,Matchweek 34,Sat,Away,W,3,1,Adanaspor,53,,Volkan Demirel,4-2-3-1,4-2-3-1,Yaşar Kemal Uğurlu,Match Report,
Includes all matches from 2016-07-01 to 2017-06-30,,,,,,,,,,,,,,,,,
